partner,host,class,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,eager_score
55,ccc0391.campuscluster.illinois.edu,intra,1.045093e-06,1.0447525e-06,3.2133595208815097e-10,24.89606266592102,22.891825625700328,1011,8088,0.7021691470753969
56,ccc0391.campuscluster.illinois.edu,intra,1.1680645e-06,1.1680645e-06,5.212396694789557e-10,15.348026001161811,22.67566565290759,1011,8088,0.5606034920714679
57,ccc0391.campuscluster.illinois.edu,intra,1.0802295e-06,1.0489855e-06,3.14332230881691e-10,25.450778552235253,23.909460309678654,1011,8088,0.7004366256962702
58,ccc0391.campuscluster.illinois.edu,intra,1.1495845e-06,1.1495845e-06,5.512080091019723e-10,14.513577212046672,22.604888319688435,1011,8088,0.5693803585816292
59,ccc0391.campuscluster.illinois.edu,intra,1.108522e-06,1.049601e-06,2.98574664798109e-10,26.793967952403,31.294951895129444,1011,8088,0.7060155035206261
60,ccc0391.campuscluster.illinois.edu,intra,1.144801e-06,1.144801e-06,5.231317003989727e-10,15.292516194103134,22.60743581899138,1011,8088,0.5584401353035664
61,ccc0391.campuscluster.illinois.edu,intra,1.0480385e-06,1.0480385e-06,1.425163953096607e-10,56.13389240316904,22.907852105919925,1011,8088,0.6988232336899443
62,ccc0391.campuscluster.illinois.edu,intra,1.119363e-06,1.1181805e-06,5.42301468021162e-10,14.751942363703538,25.25212417830432,5080,40640,0.9058899984904107
63,ccc0391.campuscluster.illinois.edu,intra,1.0517855e-06,1.0515e-06,2.846212322803321e-10,28.107530615005405,22.861275892615797,1011,8088,0.7092091314948747
64,ccc0391.campuscluster.illinois.edu,intra,1.2095625e-06,1.2095625e-06,5.090617903584386e-10,15.715184583716393,22.79562215948236,1011,8088,0.5600877363627026
65,ccc0391.campuscluster.illinois.edu,intra,1.239494e-06,1.0415365e-06,3.033034009512662e-10,26.376229131981983,72.19602250257252,1011,8088,0.7419274365411107
66,ccc0391.campuscluster.illinois.edu,intra,1.199639e-06,1.199639e-06,,,22.74867353950777,1011,8088,0.5554527358700564
67,ccc0391.campuscluster.illinois.edu,intra,1.1866695e-06,1.042007e-06,2.890836500096345e-10,27.67365086103409,50.89772640219962,1011,8088,0.7114468155473692
68,ccc0391.campuscluster.illinois.edu,intra,1.2149475e-06,1.2149475e-06,6.453107151323412e-11,123.97128720169087,22.829698832247157,1011,8088,0.5545968065572794
69,ccc0391.campuscluster.illinois.edu,intra,1.0389465e-06,1.0388715e-06,3.118524603485775e-10,25.653156595455066,22.7594492422827,1011,8088,0.7343236580698712
70,ccc0391.campuscluster.illinois.edu,intra,1.199809e-06,1.199809e-06,5.402892473529866e-10,14.806883607612068,22.765074470172404,1011,8088,0.5520707869493258
71,ccc0391.campuscluster.illinois.edu,intra,1.070386e-06,1.036642e-06,2.9895592972395213e-10,26.759797028903172,33.284965343986784,1011,8088,0.7108808647650865
72,ccc0391.campuscluster.illinois.edu,intra,1.298385e-06,1.298385e-06,4.626534636374243e-10,17.2915597283186,27.235959535227682,1011,8088,0.56129018789875
73,ccc0391.campuscluster.illinois.edu,intra,1.0474525e-06,1.04337e-06,3.120875900006481e-10,25.6338292720431,22.914657660511747,1011,8088,0.701842727109513
74,ccc0391.campuscluster.illinois.edu,intra,1.144826e-06,1.144826e-06,2.9945286713134275e-10,26.715389559089203,22.607654706924237,1011,8088,0.5663621526124883
75,ccc0391.campuscluster.illinois.edu,intra,1.097737e-06,1.0400685e-06,3.1729298348159445e-10,25.213289976404614,27.754609537505218,1011,8088,0.7701217299181602
76,ccc0391.campuscluster.illinois.edu,intra,1.2223065e-06,1.2223065e-06,4.726657480278988e-10,16.92527972119487,22.843842950982168,1011,8088,0.5482253656989408
77,ccc0391.campuscluster.illinois.edu,intra,1.108903e-06,1.0438205e-06,2.6293087506802083e-10,30.426247955590537,31.370676728962795,1011,8088,0.6789195128551189
78,ccc0391.campuscluster.illinois.edu,intra,1.1944745e-06,1.1944745e-06,5.337011215179926e-10,14.989663085672001,22.731679889434993,1011,8088,0.5528637936925407
79,ccc0391.campuscluster.illinois.edu,intra,1.049662e-06,1.048409e-06,3.020414952356555e-10,26.486426951893904,22.903646771864263,1011,8088,0.7147700107730472
80,ccc0391.campuscluster.illinois.edu,intra,1.2110805e-06,1.2110805e-06,5.531337930332532e-10,14.463046916967262,22.79368384480432,1011,8088,0.5819222936220378
81,ccc0391.campuscluster.illinois.edu,intra,1.330295e-06,1.1698125e-06,3.011879979054588e-10,26.56148337793711,101.0583563070838,1011,8088,0.7392600478902019
82,ccc0391.campuscluster.illinois.edu,intra,1.1450665e-06,1.1450665e-06,1.2232217916265209e-10,65.4010585387167,22.618411411649916,1011,8088,0.5654459184250431
83,ccc0391.campuscluster.illinois.edu,intra,1.036762e-06,1.0325045e-06,3.0471194094619203e-10,26.2543042296222,22.764137447831576,1011,8088,0.719350695545545
84,ccc0391.campuscluster.illinois.edu,intra,1.123225e-06,1.123225e-06,2.0667540230006543e-10,38.708041261654614,29.7530124184498,1011,8088,0.5573529292741122
85,ccc0391.campuscluster.illinois.edu,intra,1.0406395e-06,1.0332255e-06,,,22.8351775586551,1011,8088,0.7484079176438404
86,ccc0391.campuscluster.illinois.edu,intra,1.1153905e-06,1.1153905e-06,5.334789193624052e-10,14.995906510347798,22.426731010494322,1011,8088,0.5628191003545029
87,ccc0391.campuscluster.illinois.edu,intra,1.1090285e-06,1.1090285e-06,3.2439677883418314e-10,24.661157329460526,31.381522024147923,1011,8088,0.7066081641685859
88,ccc0391.campuscluster.illinois.edu,intra,1.2207035e-06,1.2207035e-06,5.328164183767312e-10,15.014552337506144,22.836584050359388,1011,8088,0.5539503059775613
89,ccc0391.campuscluster.illinois.edu,intra,1.091716e-06,1.0402185e-06,2.913124390832491e-10,27.46192378593837,30.087195493620122,1011,8088,0.7132102829105449
90,ccc0391.campuscluster.illinois.edu,intra,1.156142e-06,1.156142e-06,5.285988820861128e-10,15.13434907094022,22.63801235773516,1011,8088,0.5627493733270119
91,ccc0391.campuscluster.illinois.edu,intra,1.0436155e-06,1.042643e-06,3.067862537210379e-10,26.076787675351436,22.888762442597216,1011,8088,0.6860072809173574
92,ccc0391.campuscluster.illinois.edu,intra,1.14434e-06,1.14434e-06,5.351405700360422e-10,14.94934312205332,22.61054144720742,1011,8088,0.5700740883131735
93,ccc0391.campuscluster.illinois.edu,intra,1.051069e-06,1.0481385e-06,,,22.906547525915613,1011,8088,0.7006636076109014
94,ccc0391.campuscluster.illinois.edu,intra,1.181054e-06,1.1280695e-06,5.2093618630145796e-11,153.5696734142888,22.605817079603366,1011,8088,0.5530939782120903
95,ccc0391.campuscluster.illinois.edu,intra,1.0480435e-06,1.0480435e-06,3.1514283338106467e-10,25.385314697372646,28.457941367132026,1011,8088,0.75169529924528
96,ccc0391.campuscluster.illinois.edu,intra,1.2142815e-06,1.2142815e-06,5.014408056509772e-10,15.954026696360087,22.814834090917405,1011,8088,0.5546489069590562
97,ccc0391.campuscluster.illinois.edu,intra,1.0502375e-06,1.0502375e-06,2.9568329625122747e-10,27.055975435294105,22.91854823270673,1011,8088,0.6413953347552818
98,ccc0391.campuscluster.illinois.edu,intra,1.199659e-06,1.199659e-06,5.517757101556481e-10,14.498644744153948,22.76896624242077,1011,8088,0.5568794216345528
99,ccc0391.campuscluster.illinois.edu,intra,1.820879e-06,1.190156e-06,3.1285211724430594e-10,25.571187021096,332.0741705802952,1011,8088,0.6944720658079598
100,ccc0391.campuscluster.illinois.edu,intra,1.273203e-06,1.273203e-06,4.1253914664148546e-10,19.392099065333912,22.980721685776558,1011,8088,0.5945157133107954
101,ccc0391.campuscluster.illinois.edu,intra,1.050919e-06,1.042754e-06,3.3562982231154354e-10,23.83578415321543,22.886532601590588,1011,8088,0.7060431429728967
102,ccc0391.campuscluster.illinois.edu,intra,1.2507605e-06,1.2507605e-06,,,22.927348068240892,1011,8088,0.5529752934316844
103,ccc0391.campuscluster.illinois.edu,intra,1.0337015e-06,1.0313225e-06,3.1281614204365406e-10,25.574127817494745,22.85824776227129,1011,8088,0.6993159051194059
104,ccc0391.campuscluster.illinois.edu,intra,1.1498855e-06,1.1498855e-06,4.639056393939502e-11,172.44886288623826,22.62095430228106,1011,8088,0.575705540474087
105,ccc0391.campuscluster.illinois.edu,intra,1.0454885e-06,1.0454885e-06,3.1185449088662234e-10,25.65298956335529,28.436154148906116,1011,8088,0.7099577862807425
106,ccc0391.campuscluster.illinois.edu,intra,1.148698e-06,1.148698e-06,5.507464907598868e-10,14.525739399559464,22.622367770906248,1011,8088,0.5611184241611802
107,ccc0391.campuscluster.illinois.edu,intra,1.0529835e-06,1.044928e-06,2.9956085496446244e-10,26.705759004957635,22.91987762793723,1011,8088,0.7142030238255052
108,ccc0391.campuscluster.illinois.edu,intra,1.4481575e-06,1.304116e-06,5.266018628066194e-10,15.191742690317424,52.828270966791685,1011,8088,0.563369005511862
109,ccc0391.campuscluster.illinois.edu,intra,1.0452035e-06,1.0452035e-06,3.064704064309862e-10,26.10366231821314,22.886758535804113,1011,8088,0.687103725855426
110,ccc0391.campuscluster.illinois.edu,intra,1.214086e-06,1.214086e-06,5.178623759645189e-10,15.44811975401765,22.80859444950781,1011,8088,0.5471983597954155
111,ccc0391.campuscluster.illinois.edu,intra,1.108713e-06,1.050769e-06,3.1941953588980073e-10,25.04543116849305,31.35161895275234,1011,8088,0.7072764166055538
112,ccc0391.campuscluster.illinois.edu,intra,1.2195265e-06,1.2195265e-06,5.322569384343274e-10,15.030334829514075,22.795895822567957,1011,8088,0.5726136634997543
113,ccc0391.campuscluster.illinois.edu,intra,1.3239335e-06,1.0515255e-06,3.0479936340122535e-10,26.246773978556934,113.27772866573211,1011,8088,0.7024918949332594
114,ccc0391.campuscluster.illinois.edu,intra,1.1455975e-06,1.1455975e-06,5.094789405564569e-10,15.70231733477018,22.61975185754555,1011,8088,0.5697682648828554
115,ccc0391.campuscluster.illinois.edu,intra,1.0484445e-06,1.043395e-06,3.0841664450313065e-10,25.938937286890802,22.918010779211986,1011,8088,0.7410141850203781
116,ccc0391.campuscluster.illinois.edu,intra,1.220098e-06,1.220098e-06,4.742381996889168e-10,16.869159855211397,22.822848726818133,1011,8088,0.5490618991398031
117,ccc0391.campuscluster.illinois.edu,intra,1.048264e-06,1.0433395e-06,3.272747400055542e-10,24.444294111620813,22.90300238010347,1011,8088,0.7147176610198632
