partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
17,ccc0392.campuscluster.illinois.edu,intra,1,1.024719e-06,1.024719e-06,7.438600236122531e-10,10.754711566769323,22.91849961106067,1011,8088,8224,0.27610405963714746
18,ccc0392.campuscluster.illinois.edu,intra,0,1.1155305e-06,1.1155305e-06,1.0549706955073471e-09,7.583149024014085,22.590576112956093,1011,8088,8224,0.23547630532379557
19,ccc0392.campuscluster.illinois.edu,intra,1,1.021152e-06,1.021152e-06,7.494281062174604e-10,10.674806473936345,22.903011221306766,1011,8088,8224,0.27523053266514513
20,ccc0392.campuscluster.illinois.edu,intra,0,1.1128905e-06,1.1128905e-06,5.654582185860453e-10,14.147818065151432,22.5870001867601,1011,8088,8224,0.2370047818518025
21,ccc0392.campuscluster.illinois.edu,intra,1,9.991155e-07,9.991155e-07,4.550782155883035e-10,17.579395642258945,29.289068514889898,1011,8088,8224,0.28665663913968126
22,ccc0392.campuscluster.illinois.edu,intra,0,1.094095e-06,1.0810605e-06,5.649571833477396e-10,14.16036513173403,22.962685688981207,1011,8088,8224,0.23483234640134473
23,ccc0392.campuscluster.illinois.edu,intra,1,1.010652e-06,1.0012045e-06,4.559352825295998e-10,17.546349902150055,28.485609349363276,1011,8088,8224,0.276133890162353
24,ccc0392.campuscluster.illinois.edu,intra,0,1.0905635e-06,1.0905635e-06,1.0547874947665098e-09,7.584466103071215,22.506369358054222,1011,8088,8224,0.2321617073506637
25,ccc0392.campuscluster.illinois.edu,intra,1,1.022064e-06,1.022064e-06,4.5708035731951015e-10,17.50239289851567,22.90985563012883,1011,8088,8224,0.28399034475066054
26,ccc0392.campuscluster.illinois.edu,intra,0,1.082739e-06,1.082739e-06,5.646053380557839e-10,14.169189451073853,29.302709946708617,1011,8088,8224,0.23144548810305007
27,ccc0392.campuscluster.illinois.edu,intra,1,1.00951e-06,1.00951e-06,7.47897360644863e-10,10.696654943536803,22.851836504709507,1011,8088,8224,0.2795836753658817
28,ccc0392.campuscluster.illinois.edu,intra,0,1.115586e-06,1.115586e-06,5.651334513945987e-10,14.15594844059953,22.592850042229365,1011,8088,8224,0.2371905368206115
29,ccc0392.campuscluster.illinois.edu,intra,1,1.006364e-06,1.006364e-06,7.471771560849177e-10,10.706965456383399,22.84934776664681,1011,8088,8224,0.2791056755916511
30,ccc0392.campuscluster.illinois.edu,intra,0,1.117229e-06,1.117229e-06,1.0611333419068912e-09,7.539109067691473,22.599182112401913,1011,8088,8224,0.2405088403548035
