# P=192 nodes=2 M=191 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu cpu0=0 socket0=0 date=2026-09-14T23:25:31
partner,partner_host,partner_cpu,partner_socket,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,0,0,self,151,1208,653,3.522883614e-06,342.9009
0,ccc0391.campuscluster.illinois.edu,0,0,self,154,1232,641,3.538287051e-06,348.1911
0,ccc0391.campuscluster.illinois.edu,0,0,self,157,1256,628,3.555772293e-06,353.2285
0,ccc0391.campuscluster.illinois.edu,0,0,self,160,1280,617,3.555092382e-06,360.0469
0,ccc0391.campuscluster.illinois.edu,0,0,self,163,1304,606,3.591466997e-06,363.0828
0,ccc0391.campuscluster.illinois.edu,0,0,self,166,1328,595,3.638230252e-06,365.0126
0,ccc0391.campuscluster.illinois.edu,0,0,self,169,1352,584,3.659991438e-06,369.3998
0,ccc0391.campuscluster.illinois.edu,0,0,self,172,1376,574,3.643202091e-06,377.6897
0,ccc0391.campuscluster.illinois.edu,0,0,self,175,1400,564,3.694796099e-06,378.9113
0,ccc0391.campuscluster.illinois.edu,0,0,self,178,1424,555,3.722650450e-06,382.5232
0,ccc0391.campuscluster.illinois.edu,0,0,self,181,1448,546,3.791280220e-06,381.9290
0,ccc0391.campuscluster.illinois.edu,0,0,self,184,1472,537,3.780901304e-06,389.3252
0,ccc0391.campuscluster.illinois.edu,0,0,self,187,1496,529,3.788533081e-06,394.8758
0,ccc0391.campuscluster.illinois.edu,0,0,self,191,1528,518,3.835698842e-06,398.3629
0,ccc0391.campuscluster.illinois.edu,0,0,self,195,1560,507,3.850289941e-06,405.1643
0,ccc0391.campuscluster.illinois.edu,0,0,self,199,1592,497,3.902440644e-06,407.9498
0,ccc0391.campuscluster.illinois.edu,0,0,self,203,1624,487,3.886455852e-06,417.8614
0,ccc0391.campuscluster.illinois.edu,0,0,self,207,1656,478,3.923435146e-06,422.0791
0,ccc0391.campuscluster.illinois.edu,0,0,self,211,1688,469,3.920153518e-06,430.5954
0,ccc0391.campuscluster.illinois.edu,0,0,self,215,1720,460,3.956102174e-06,434.7714
0,ccc0391.campuscluster.illinois.edu,0,0,self,219,1752,452,3.990612832e-06,439.0303
0,ccc0391.campuscluster.illinois.edu,0,0,self,223,1784,444,4.005675676e-06,445.3681
0,ccc0391.campuscluster.illinois.edu,0,0,self,227,1816,436,4.017864679e-06,451.9814
0,ccc0391.campuscluster.illinois.edu,0,0,self,231,1848,429,4.066680653e-06,454.4247
0,ccc0391.campuscluster.illinois.edu,0,0,self,235,1880,421,4.104213777e-06,458.0658
0,ccc0391.campuscluster.illinois.edu,0,0,self,239,1912,414,4.117538647e-06,464.3551
0,ccc0391.campuscluster.illinois.edu,0,0,self,243,1944,408,4.131875000e-06,470.4886
0,ccc0391.campuscluster.illinois.edu,0,0,self,247,1976,401,4.207199501e-06,469.6711
0,ccc0391.campuscluster.illinois.edu,0,0,self,251,2008,395,4.224159494e-06,475.3608
0,ccc0391.campuscluster.illinois.edu,0,0,self,256,2048,387,4.252971576e-06,481.5457
0,ccc0391.campuscluster.illinois.edu,0,0,self,261,2088,380,4.306742105e-06,484.8212
0,ccc0391.campuscluster.illinois.edu,0,0,self,266,2128,373,4.331053619e-06,491.3354
0,ccc0391.campuscluster.illinois.edu,0,0,self,271,2168,366,4.355005464e-06,497.8180
0,ccc0391.campuscluster.illinois.edu,0,0,self,276,2208,359,4.388626741e-06,503.1187
0,ccc0391.campuscluster.illinois.edu,0,0,self,281,2248,353,4.429560907e-06,507.4995
0,ccc0391.campuscluster.illinois.edu,0,0,self,286,2288,347,4.462700288e-06,512.6941
0,ccc0391.campuscluster.illinois.edu,0,0,self,291,2328,341,4.508815249e-06,516.3219
0,ccc0391.campuscluster.illinois.edu,0,0,self,296,2368,335,4.545844776e-06,520.9153
0,ccc0391.campuscluster.illinois.edu,0,0,self,301,2408,330,4.581475758e-06,525.5948
0,ccc0391.campuscluster.illinois.edu,0,0,self,306,2448,324,4.638179012e-06,527.7933
0,ccc0391.campuscluster.illinois.edu,0,0,self,311,2488,319,4.648344828e-06,535.2443
0,ccc0391.campuscluster.illinois.edu,0,0,self,316,2528,314,4.705898089e-06,537.1982
0,ccc0391.campuscluster.illinois.edu,0,0,self,322,2576,308,4.720220779e-06,545.7372
0,ccc0391.campuscluster.illinois.edu,0,0,self,328,2624,303,4.758069307e-06,551.4842
0,ccc0391.campuscluster.illinois.edu,0,0,self,334,2672,297,4.806360269e-06,555.9300
0,ccc0391.campuscluster.illinois.edu,0,0,self,340,2720,292,4.844671233e-06,561.4416
0,ccc0391.campuscluster.illinois.edu,0,0,self,346,2768,287,4.919299652e-06,562.6817
0,ccc0391.campuscluster.illinois.edu,0,0,self,352,2816,282,4.914858156e-06,572.9565
0,ccc0391.campuscluster.illinois.edu,0,0,self,358,2864,277,4.996920578e-06,573.1530
0,ccc0391.campuscluster.illinois.edu,0,0,self,364,2912,273,5.034205128e-06,578.4429
0,ccc0391.campuscluster.illinois.edu,0,0,self,370,2960,268,5.046182836e-06,586.5820
0,ccc0391.campuscluster.illinois.edu,0,0,self,376,3008,264,5.139299242e-06,585.2938
0,ccc0391.campuscluster.illinois.edu,0,0,self,383,3064,259,5.160606178e-06,593.7287
0,ccc0391.campuscluster.illinois.edu,0,0,self,390,3120,255,5.223564706e-06,597.2933
0,ccc0391.campuscluster.illinois.edu,0,0,self,397,3176,250,5.282228000e-06,601.2614
0,ccc0391.campuscluster.illinois.edu,0,0,self,404,3232,246,5.269394309e-06,613.3532
0,ccc0391.campuscluster.illinois.edu,0,0,self,411,3288,242,5.329665289e-06,616.9243
0,ccc0391.campuscluster.illinois.edu,0,0,self,418,3344,238,5.426226891e-06,616.2662
0,ccc0391.campuscluster.illinois.edu,0,0,self,425,3400,234,5.455786325e-06,623.1916
0,ccc0391.campuscluster.illinois.edu,0,0,self,432,3456,230,5.483108696e-06,630.2994
0,ccc0391.campuscluster.illinois.edu,0,0,self,439,3512,226,5.546597345e-06,633.1810
0,ccc0391.campuscluster.illinois.edu,0,0,self,447,3576,222,5.650729730e-06,632.8386
0,ccc0391.campuscluster.illinois.edu,0,0,self,455,3640,218,5.660940367e-06,643.0027
0,ccc0391.campuscluster.illinois.edu,0,0,self,463,3704,215,5.728693023e-06,646.5698
0,ccc0391.campuscluster.illinois.edu,0,0,self,471,3768,211,5.770393365e-06,652.9884
0,ccc0391.campuscluster.illinois.edu,0,0,self,479,3832,207,5.861666667e-06,653.7390
0,ccc0391.campuscluster.illinois.edu,0,0,self,487,3896,204,5.908921569e-06,659.3420
0,ccc0391.campuscluster.illinois.edu,0,0,self,495,3960,201,5.941039801e-06,666.5500
0,ccc0391.campuscluster.illinois.edu,0,0,self,503,4024,198,6.012686869e-06,669.2515
0,ccc0391.campuscluster.illinois.edu,0,0,self,512,4096,194,6.120546392e-06,669.2213
0,ccc0391.campuscluster.illinois.edu,0,0,self,521,4168,191,6.156047120e-06,677.0578
0,ccc0391.campuscluster.illinois.edu,0,0,self,530,4240,187,6.266935829e-06,676.5667
0,ccc0391.campuscluster.illinois.edu,0,0,self,539,4312,184,6.261739130e-06,688.6266
0,ccc0391.campuscluster.illinois.edu,0,0,self,548,4384,181,6.302480663e-06,695.5991
0,ccc0391.campuscluster.illinois.edu,0,0,self,557,4456,178,6.399634831e-06,696.2897
