# P=64 nodes=1 M=63 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu date=2026-09-12T00:27:34
partner,partner_host,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,self,1116,8928,89,1.198082022e-05,745.1910
0,ccc0391.campuscluster.illinois.edu,self,1134,9072,88,1.209750000e-05,749.9070
0,ccc0391.campuscluster.illinois.edu,self,1153,9224,86,1.233310465e-05,747.9058
0,ccc0391.campuscluster.illinois.edu,self,1172,9376,85,1.251262353e-05,749.3233
0,ccc0391.campuscluster.illinois.edu,self,1191,9528,83,1.255183133e-05,759.0924
0,ccc0391.campuscluster.illinois.edu,self,1211,9688,82,1.268645122e-05,763.6493
0,ccc0391.campuscluster.illinois.edu,self,1231,9848,81,1.287016049e-05,765.1808
0,ccc0391.campuscluster.illinois.edu,self,1251,10008,79,1.306986709e-05,765.7308
0,ccc0391.campuscluster.illinois.edu,self,1272,10176,78,1.322310256e-05,769.5622
0,ccc0391.campuscluster.illinois.edu,self,1293,10344,77,1.334727922e-05,774.9894
0,ccc0391.campuscluster.illinois.edu,self,1314,10512,75,1.356454667e-05,774.9614
0,ccc0391.campuscluster.illinois.edu,self,1336,10688,74,1.375685135e-05,776.9220
0,ccc0391.campuscluster.illinois.edu,self,1358,10864,73,1.387071233e-05,783.2330
0,ccc0391.campuscluster.illinois.edu,self,1380,11040,72,1.397123611e-05,790.1949
0,ccc0391.campuscluster.illinois.edu,self,1403,11224,71,1.412116901e-05,794.8350
0,ccc0391.campuscluster.illinois.edu,self,1426,11408,70,1.431545714e-05,796.9009
0,ccc0391.campuscluster.illinois.edu,self,1449,11592,68,1.452190441e-05,798.2424
0,ccc0391.campuscluster.illinois.edu,self,1473,11784,67,1.475846269e-05,798.4571
0,ccc0391.campuscluster.illinois.edu,self,1497,11976,66,1.488408333e-05,804.6179
0,ccc0391.campuscluster.illinois.edu,self,1521,12168,65,1.525719231e-05,797.5255
0,ccc0391.campuscluster.illinois.edu,self,1546,12368,64,1.939777344e-05,637.5990
0,ccc0391.campuscluster.illinois.edu,self,1571,12568,63,1.554546825e-05,808.4671
0,ccc0391.campuscluster.illinois.edu,self,1597,12776,62,1.565270161e-05,816.2169
0,ccc0391.campuscluster.illinois.edu,self,1623,12984,61,1.573101639e-05,825.3758
0,ccc0391.campuscluster.illinois.edu,self,1649,13192,60,1.604680000e-05,822.0954
0,ccc0391.campuscluster.illinois.edu,self,1676,13408,59,1.621078814e-05,827.1035
0,ccc0391.campuscluster.illinois.edu,self,1703,13624,58,1.646945690e-05,827.2282
0,ccc0391.campuscluster.illinois.edu,self,1731,13848,57,1.668387719e-05,830.0229
0,ccc0391.campuscluster.illinois.edu,self,1759,14072,56,1.677578571e-05,838.8281
0,ccc0391.campuscluster.illinois.edu,self,1788,14304,55,1.702105455e-05,840.3710
0,ccc0391.campuscluster.illinois.edu,self,1817,14536,54,1.756771296e-05,827.4270
0,ccc0391.campuscluster.illinois.edu,self,1847,14776,54,1.731974074e-05,853.1306
0,ccc0391.campuscluster.illinois.edu,self,1877,15016,53,1.758840566e-05,853.7442
0,ccc0391.campuscluster.illinois.edu,self,1908,15264,52,1.776548077e-05,859.1943
0,ccc0391.campuscluster.illinois.edu,self,1939,15512,51,1.809505882e-05,857.2506
0,ccc0391.campuscluster.illinois.edu,self,1971,15768,50,1.832781000e-05,860.3319
0,ccc0391.campuscluster.illinois.edu,self,2003,16024,49,1.864776531e-05,859.2987
0,ccc0391.campuscluster.illinois.edu,self,2036,16288,49,1.855830612e-05,877.6663
0,ccc0391.campuscluster.illinois.edu,self,2069,16552,48,1.897969792e-05,872.0897
0,ccc0391.campuscluster.illinois.edu,self,2103,16824,47,1.908551064e-05,881.5064
0,ccc0391.campuscluster.illinois.edu,self,2137,17096,46,1.967651087e-05,868.8532
0,ccc0391.campuscluster.illinois.edu,self,2172,17376,45,1.980173333e-05,877.4989
0,ccc0391.campuscluster.illinois.edu,self,2207,17656,45,1.997361111e-05,883.9663
0,ccc0391.campuscluster.illinois.edu,self,2243,17944,44,2.019689773e-05,888.4533
0,ccc0391.campuscluster.illinois.edu,self,2279,18232,43,2.051362791e-05,888.7750
